,2015,2016,2017,2018,2019
종로구,50,46,40,35,38
중구,44,47,40,36,38
용산구,42,42,39,34,34
성동구,46,52,46,42,42
광진구,45,48,42,40,41
동대문구,44,49,44,36,48
중랑구,45,50,45,35,45
성북구,42,49,48,41,43
강북구,45,42,37,35,39
도봉구,43,46,44,41,38
노원구,46,41,42,39,44
은평구,45,47,44,40,45
서대문구,42,50,46,41,38
마포구,46,46,41,44,40
양천구,47,47,44,37,48
강서구,48,51,47,39,47
구로구,46,51,45,43,42
금천구,47,45,41,39,39
영등포구,48,55,49,47,45
동작구,44,43,42,40,44
관악구,51,48,43,43,49
서초구,47,50,47,42,44
강남구,46,51,44,35,40
송파구,44,46,45,42,40
강동구,44,53,48,44,42
