측정일자,측정소명,미세먼지,초미세먼지
20191231,중구,26,0.002
20191231,종로구,27,0.003
20191231,용산구,14,0.003
20191231,은평구,24,0.003
20191231,서대문구,23,0.002
20191231,마포구,22,0.002
20191231,광진구,22,0.002
20191231,성동구,25,0.003
20191231,중랑구,24,0.003
20191231,동대문구,25,0.003
20191231,성북구,26,0.003
20191231,도봉구,19,0.002
20191231,강북구,32,0.002
20191231,노원구,22,0.004
20191231,강서구,29,0.004
20191231,구로구,20,0.003
20191231,영등포구,22,0.002
20191231,동작구,28,0.003
20191231,관악구,26,0.003
20191231,금천구,23,0.003
20191231,양천구,29,0.004
20191231,강남구,22,0.003
20191231,서초구,28,0.003
20191231,송파구,25,0.003
20191231,강동구,28,0.003
20191230,중구,36,0.003
20191230,종로구,40,0.003
20191230,용산구,32,0.003
20191230,은평구,36,0.003
20191230,서대문구,35,0.002
20191230,마포구,33,0.003
20191230,광진구,37,0.003
20191230,성동구,36,0.004
20191230,중랑구,39,0.002
20191230,동대문구,38,0.003
20191230,성북구,38,0.003
20191230,도봉구,32,0.003
20191230,강북구,37,0.003
20191230,노원구,32,0.004
20191230,강서구,43,0.004
20191230,구로구,34,0.003
20191230,영등포구,34,0.003
20191230,동작구,43,0.003
20191230,관악구,39,0.003
20191230,금천구,31,0.003
20191230,양천구,42,0.004
20191230,강남구,36,0.003
20191230,서초구,40,0.003
20191230,송파구,35,0.003
20191230,강동구,41,0.003
20191229,중구,46,0.004
20191229,종로구,46,0.004
20191229,용산구,41,0.003
20191229,은평구,42,0.003
20191229,서대문구,43,0.003
20191229,마포구,43,0.003
20191229,광진구,45,0.003
20191229,성동구,44,0.004
20191229,중랑구,45,0.003
20191229,동대문구,46,0.003
20191229,성북구,45,0.003
20191229,도봉구,40,0.003
20191229,강북구,48,0.003
20191229,노원구,39,0.006
20191229,강서구,53,0.004
20191229,구로구,44,0.004
20191229,영등포구,44,0.003
20191229,동작구,50,0.003
20191229,관악구,49,0.003
20191229,금천구,39,0.004
20191229,양천구,53,0.005
20191229,강남구,44,0.003
20191229,서초구,51,0.003
20191229,송파구,44,0.004
20191229,강동구,50,0.003
20191228,중구,43,0.004
20191228,종로구,44,0.004
20191228,용산구,40,0.003
20191228,은평구,39,0.004
20191228,서대문구,43,0.004
20191228,마포구,40,0.004
20191228,광진구,43,0.003
20191228,성동구,40,0.004
20191228,중랑구,42,0.003
20191228,동대문구,42,0.003
20191228,성북구,45,0.003
20191228,도봉구,36,0.003
20191228,강북구,44,0.003
20191228,노원구,33,0.006
20191228,강서구,48,0.005
20191228,구로구,39,0.004
20191228,영등포구,40,0.003
20191228,동작구,42,0.004
20191228,관악구,46,0.003
20191228,금천구,34,0.004
20191228,양천구,48,0.005
20191228,강남구,42,0.003
20191228,서초구,47,0.004
20191228,송파구,43,0.004
20191228,강동구,48,0.003
20191227,중구,34,0.003
20191227,종로구,36,0.003
20191227,용산구,32,0.003
20191227,은평구,34,0.003
20191227,서대문구,34,0.003
20191227,마포구,33,0.003
20191227,광진구,32,0.003
20191227,성동구,33,0.004
20191227,중랑구,36,0.003
20191227,동대문구,31,0.003
20191227,성북구,34,0.003
20191227,도봉구,28,0.003
20191227,강북구,38,0.003
20191227,노원구,33,0.005
20191227,강서구,40,0.005
20191227,구로구,30,0.004
20191227,영등포구,32,0.003
20191227,동작구,38,0.003
20191227,관악구,38,0.003
20191227,금천구,29,0.003
20191227,양천구,39,0.004
20191227,강남구,32,0.003
20191227,서초구,33,0.003
20191227,송파구,34,0.003
20191227,강동구,41,0.003
20191226,중구,48,0.003
20191226,종로구,50,0.004
20191226,용산구,42,0.003
20191226,은평구,45,0.003
20191226,서대문구,49,0.006
20191226,마포구,43,0.003
20191226,광진구,49,0.003
20191226,성동구,47,0.004
20191226,중랑구,49,0.003
20191226,동대문구,47,0.003
20191226,성북구,48,0.003
20191226,도봉구,46,0.003
20191226,강북구,52,0.003
20191226,노원구,43,0.005
20191226,강서구,58,0.005
20191226,구로구,48,0.004
20191226,영등포구,40,0.003
20191226,동작구,55,0.003
20191226,관악구,52,0.003
20191226,금천구,47,0.004
20191226,양천구,58,0.005
20191226,강남구,47,0.003
20191226,서초구,54,0.003
20191226,송파구,48,0.003
20191226,강동구,56,0.003
20191225,중구,54,0.003
20191225,종로구,55,0.004
20191225,용산구,45,0.003
20191225,은평구,44,0.002
20191225,서대문구,49,0.006
20191225,마포구,50,0.003
20191225,광진구,43,0.003
20191225,성동구,46,0.004
20191225,중랑구,52,0.002
20191225,동대문구,52,0.003
20191225,성북구,58,0.003
20191225,도봉구,60,0.003
20191225,강북구,62,0.003
20191225,노원구,56,0.005
20191225,강서구,70,0.006
20191225,구로구,47,0.003
20191225,영등포구,40,0.003
20191225,동작구,50,0.003
20191225,관악구,52,0.002
20191225,금천구,42,0.003
20191225,양천구,65,0.005
20191225,강남구,42,0.003
20191225,서초구,52,0.003
20191225,송파구,45,0.004
20191225,강동구,55,0.003
20191224,중구,72,0.003
20191224,종로구,77,0.004
20191224,용산구,66,0.003
20191224,은평구,60,0.002
20191224,서대문구,69,0.007
20191224,마포구,63,0.003
20191224,광진구,61,0.003
20191224,성동구,66,0.005
20191224,중랑구,69,0.002
20191224,동대문구,75,0.003
20191224,성북구,70,0.003
20191224,도봉구,71,0.003
20191224,강북구,77,0.003
20191224,노원구,73,0.005
20191224,강서구,81,0.005
20191224,구로구,67,0.004
20191224,영등포구,54,0.003
20191224,동작구,77,0.003
20191224,관악구,70,0.003
20191224,금천구,64,0.003
20191224,양천구,74,0.004
20191224,강남구,63,0.003
20191224,서초구,78,0.003
20191224,송파구,60,0.004
20191224,강동구,71,0.003
20191223,중구,51,0.003
20191223,종로구,53,0.004
20191223,용산구,45,0.003
20191223,은평구,49,0.002
20191223,서대문구,50,0.004
20191223,마포구,42,0.003
20191223,광진구,50,0.003
20191223,성동구,52,0.004
20191223,중랑구,51,0.002
20191223,동대문구,51,0.003
20191223,성북구,48,0.003
20191223,도봉구,46,0.003
20191223,강북구,52,0.003
20191223,노원구,49,0.004
20191223,강서구,58,0.004
